Movie Name,Year,Rating,Length,Votes,Industry,
K.G.F Chapter 1,2018,8.4,156,22515,Bollywood,
Badhaai Ho,2018,8.1,124,17258,Bollywood,
Andhadhun,2018,8.5,139,39653,Bollywood,
Sanju,2018,8,155,39504,Bollywood,
Arjun Reddy,2017,8.4,182,14231,Bollywood,
Bareily ki Barfi,2017,7.5,116,12712,Bollywood,
Dangal,2016,8.5,161,118772,Bollywood,
Pink,2016,8.2,136,31704,Bollywood,
Aruvi,2016,8.8,130,8111,Bollywood,
Talvar,2015,8.2,132,25071,Bollywood,
Airlift,2016,8.1,130,47824,Bollywood,
Premam,2015,8.1,156,13447,Bollywood,
PK,2014,8.2,153,135845,Bollywood,
Drishyam,2013,8.8,160,23931,Bollywood,
3 Idiots,2009,8.4,170,295696,Bollywood,
Taare Zameen Par,2008,8.4,165,138784,Bollywood,
A Wednesday,2008,8.2,104,67368,Bollywood,
Ghajini,2008,7.3,183,51225,Bollywood,
Udaan ,2010,8.2,134,38583,Bollywood,
,,,,,,
,,,,,,
Aquaman,2018,7.2,143,232194,Hollywood,
Avengers- Infinity War,2018,8.5,149,6620749,Hollywood,
Spider-Man Into the Spider-Verse,2018,8.5,117,178777,Hollywood,
Bohemian Rhapsody,2018,8.1,134,323711,Hollywood,"Biography, Drama"
Green Book,2018,8.3,130,176755,Hollywood,
Intestellar,2014,8.6,169,1278850,Hollywood,
The Dark Knight,2008,9,152,2040730,Hollywood,
Inception,2010,8.8,148,1819150,Hollywood,
The Intouchables,2011,8.5,112,667202,Hollywood,
Whiplash,2014,8.5,106,606251,Hollywood,
Django Unchained,2012,8.4,165,1197273,Hollywood,
Wall' E ,2008,8.4,98,896320,Hollywood,
Coco,2017,8.4,105,266971,Hollywood,
The Hunt,2013,8.3,115,238400,Hollywood,
Up,2009,8.2,96,836002,Hollywood,
The Wolf of The Wall Street,2013,8.2,180,1022902,Hollywood,
Inside Out,2015,8.2,95,528707,Hollywood,
Shutter Island,2010,8.2,138,995040,Hollywood,
Hacksaw Ridge,2016,8.1,139,360543,Hollywood,
Gone Girl,2014,8.1,149,753666,Hollywood,
